image_id,split,gvi,ruci,quality_score,quality_class,quality_label
aachen_000000_000019,train,0.11255408617531715,0.0554898921250858,0.5285320970251157,2,high
aachen_000001_000019,train,0.11058891684921339,0.0375119992968783,0.5365384587761676,2,high
aachen_000002_000019,train,0.29499824141615116,0.13258230264189894,0.5812079693871262,2,high
aachen_000003_000019,train,0.0,0.2020125425961456,0.3989937287019272,0,low
aachen_000004_000019,train,0.03570973937484246,0.07412251538445434,0.48079361199519405,1,moderate
aachen_000005_000019,train,0.14588576202562212,0.1433578100701346,0.5012639759777437,1,moderate
aachen_000006_000019,train,0.40091330839079686,0.0958753389140612,0.6525189847383679,2,high
aachen_000007_000019,train,0.20087850523537912,0.019097123369364886,0.5908906909330072,2,high
aachen_000008_000019,train,0.28513550576683416,0.03381637666234224,0.6256595645522459,2,high
aachen_000009_000019,train,0.040626478270706076,0.05891946806061571,0.49085350510504516,1,moderate
aachen_000010_000019,train,0.21894124390412065,0.3708212275807705,0.42406000816167505,0,low
aachen_000011_000019,train,0.2474718373959299,0.20002749950893733,0.5237221689434963,2,high
aachen_000012_000019,train,0.21128173024618385,0.2942102969505294,0.4585357166478272,1,moderate
aachen_000013_000019,train,0.16040560492520267,0.31301641905821526,0.42369459293349376,0,low
aachen_000014_000019,train,0.04061025251533952,0.19846670616622047,0.42107177317455957,0,low
aachen_000015_000019,train,0.15385521061702606,0.18415842538623658,0.4848483926153947,1,moderate
aachen_000016_000019,train,0.12654675928055567,0.12985246039896217,0.4983471494407968,1,moderate
aachen_000017_000019,train,0.1356612455460995,0.25771095816387474,0.43897514369111235,0,low
aachen_000018_000019,train,0.004401431995638174,0.22170689874647426,0.3913472666245819,0,low
aachen_000019_000019,train,0.09081292425730411,0.21546506760847267,0.43767392832441576,0,low
aachen_000020_000019,train,0.040860336093913326,1.0,0.020430168046956663,0,low
aachen_000021_000019,train,0.017365945847874122,0.2922153415054701,0.362575302171202,0,low
aachen_000022_000019,train,0.0,1.0,0.0,0,low
aachen_000023_000019,train,0.007047094614013475,0.16446944200616526,0.4212888263039241,0,low
aachen_000024_000019,train,0.0,1.0,0.0,0,low
aachen_000025_000019,train,0.10986867952074741,0.05069194954165391,0.5295883649895468,2,high
aachen_000026_000019,train,0.251230013561951,0.12157344093650928,0.5648282863127209,2,high
aachen_000027_000019,train,0.0828350881801245,0.23989098671690132,0.4214720507316116,0,low
aachen_000028_000019,train,0.2975391022689102,0.2612288813980978,0.5181551104354062,1,moderate
aachen_000029_000019,train,0.07632098794219432,0.17720170213228628,0.44955964290495404,1,moderate
aachen_000030_000019,train,0.16458153025512662,0.25735875864373053,0.45361138580569804,1,moderate
aachen_000031_000019,train,0.3294812181354512,0.18558683752705055,0.5719471903042004,2,high
aachen_000032_000019,train,0.2950680782341969,0.046040300956856274,0.6245138886386703,2,high
aachen_000033_000019,train,0.07698493494050114,0.08097322364949704,0.4980058556455021,1,moderate
aachen_000034_000019,train,0.10140740679225854,0.3479735375865518,0.3767169346028534,0,low
aachen_000035_000019,train,0.06275333260943484,0.06827579095133708,0.4972387708290489,1,moderate
aachen_000036_000019,train,0.08187546463792275,0.14848328580661957,0.46669608941565155,1,moderate
aachen_000037_000019,train,0.0517590697731358,0.18279216067022666,0.4344834545514546,0,low
aachen_000038_000019,train,0.0,0.09593173953900741,0.4520341302304963,1,moderate
aachen_000039_000019,train,0.0,0.32861947994195145,0.33569026002902425,0,low
aachen_000040_000019,train,0.02071563664696833,0.36470028112814,0.32800767775941414,0,low
aachen_000041_000019,train,0.23615653883729398,0.29000177588350207,0.47307738147689593,1,moderate
aachen_000042_000019,train,0.14630478086628276,0.16615514012054716,0.49007482037286776,1,moderate
aachen_000043_000019,train,0.11401858696777988,0.38785124429759754,0.3630836713350912,0,low
aachen_000044_000019,train,0.36689747988082816,0.29455699362668336,0.5361702431270724,2,high
aachen_000045_000019,train,0.3335296603116477,0.2730981527395749,0.5302157537860365,2,high
aachen_000046_000019,train,0.24492307788305842,0.2390074454600536,0.5029578162115024,1,moderate
aachen_000047_000019,train,0.30712148982246934,0.10231710818217409,0.6024021908201476,2,high
aachen_000048_000019,train,0.18798413008825843,0.16875971734889625,0.5096122063696811,1,moderate
aachen_000049_000019,train,0.12835048649863626,0.4125228169815813,0.35791383475852745,0,low
aachen_000050_000019,train,0.04668975434542349,0.2971592737093478,0.3747652403180378,0,low
aachen_000051_000019,train,0.04270390745466666,0.16583585455197586,0.43843402645134544,0,low
aachen_000052_000019,train,0.2587431330636279,0.1943831218793643,0.5321800055921317,2,high
aachen_000053_000019,train,0.31270427942108375,0.03481939472827855,0.6389424423464026,2,high
aachen_000054_000019,train,0.27422833471821695,0.11515663357956508,0.579535850569326,2,high
aachen_000055_000019,train,0.3657710613336929,0.03906980888314697,0.663350626225273,2,high
aachen_000056_000019,train,0.19113022897418736,0.015817651600717245,0.587656288686735,2,high
aachen_000057_000019,train,0.42010429932044896,0.12806476399157363,0.6460197676644377,2,high
aachen_000058_000019,train,0.2704900549924076,0.21605268012236176,0.5272186874350229,2,high
aachen_000059_000019,train,0.062016041373937764,0.04530800409022942,0.5083540186418541,1,moderate
aachen_000060_000019,train,0.23716730795548038,0.15630361458221548,0.5404318466866325,2,high
aachen_000061_000019,train,0.2775430721165625,0.24390296415215326,0.5168200539822045,1,moderate
aachen_000062_000019,train,0.11525035237019161,0.2644616084684112,0.4253943719508902,0,low
aachen_000063_000019,train,0.12402084798446143,0.05317652259290271,0.5354221626957794,2,high
aachen_000064_000019,train,0.08008798343577153,0.07211553250279762,0.503986225466487,1,moderate
aachen_000065_000019,train,0.1524697339031281,0.07170798139750519,0.5403808762528114,2,high
aachen_000066_000019,train,0.11009415228243406,0.29076272967104805,0.409665711305693,0,low
aachen_000067_000019,train,0.09383540030762191,0.1771728892120067,0.4583312555478076,1,moderate
aachen_000068_000019,train,0.29482689309034205,0.023619695118270213,0.6356035989860359,2,high
aachen_000069_000019,train,0.21792226459417074,0.08186685932595161,0.5680277026341096,2,high
aachen_000070_000019,train,0.08643154004474819,0.12454092121412949,0.48094530941530933,1,moderate
aachen_000071_000019,train,0.16960442592906647,0.18509517931760788,0.4922546233057293,1,moderate
aachen_000072_000019,train,0.030734806735804126,0.03923228348868062,0.49575126162356176,1,moderate
aachen_000073_000019,train,0.24353470692007445,0.04534732954614895,0.5990936886869628,2,high
aachen_000074_000019,train,0.15856210728221082,0.09990305309312045,0.5293295270945452,2,high
aachen_000075_000019,train,0.05896171206071736,0.04686232859038632,0.5060496917351656,1,moderate
aachen_000076_000019,train,0.15242901678001505,0.13675211816725938,0.5078384493063778,1,moderate
aachen_000077_000019,train,0.013442693165162035,0.1791805517247616,0.4171310707202002,0,low
aachen_000078_000019,train,0.005194930627229307,0.21976203478462328,0.392716447921303,0,low
aachen_000079_000019,train,0.0,0.16090166177637208,0.41954916911181395,0,low
aachen_000080_000019,train,0.03259202571833384,0.05493550342940569,0.4888282611444641,1,moderate
aachen_000081_000019,train,0.1988753173215657,0.33347069155198705,0.43270231288478933,0,low
aachen_000082_000019,train,0.02301029296287549,0.03057312340691972,0.49621858477797787,1,moderate
aachen_000083_000019,train,0.26738203228179136,0.37333648675050646,0.44702277276564245,1,moderate
aachen_000084_000019,train,0.21430080804090276,0.34433187030891815,0.4349844688659923,0,low
aachen_000085_000019,train,0.01783847204124118,0.1706392310563643,0.4235996204924385,0,low
aachen_000086_000019,train,0.10581193828647635,0.10188818730980145,0.5019618754883375,1,moderate
aachen_000087_000019,train,0.10145612949735923,0.0834709208734057,0.5089926043119768,1,moderate
aachen_000088_000019,train,0.15019552430771085,0.18350037473165404,0.4833475747880284,1,moderate
aachen_000089_000019,train,0.1300133913987846,0.4228268564027897,0.35359326749799747,0,low
aachen_000090_000019,train,0.05392817398877492,0.1707246182395421,0.4416017778746164,0,low
aachen_000091_000019,train,0.11389824212914738,0.603881645690186,0.2550082982194807,0,low
aachen_000092_000019,train,0.2901545158244886,0.16896948637202736,0.5605925147262306,2,high
aachen_000093_000019,train,0.13963425099066148,0.0952715078381727,0.5221813715762443,1,moderate
aachen_000094_000019,train,0.007520737384274015,0.09086581009039932,0.4583274636469374,1,moderate
aachen_000095_000019,train,0.011992520760161988,0.33060653793738165,0.34069299141139014,0,low
aachen_000096_000019,train,0.15460046978519185,0.39702514686507506,0.3787876614600584,0,low
aachen_000097_000019,train,0.09143523159401662,0.04218814040915573,0.5246235455924304,2,high
aachen_000098_000019,train,0.005055057933885686,0.08967867427808894,0.4576881918278984,1,moderate
aachen_000099_000019,train,0.13126646304059025,0.3520327412657347,0.38961686088742775,0,low
aachen_000100_000019,train,0.08421070197582407,0.15002950136053936,0.4670906003076423,1,moderate
aachen_000101_000019,train,0.05457669407661495,0.13775199822951462,0.4584123479235502,1,moderate
aachen_000102_000019,train,0.0044500929616877166,0.19678888332360686,0.40383060481904043,0,low
aachen_000103_000019,train,0.006929753222335249,0.16243391100188415,0.4222479211102255,0,low
aachen_000104_000019,train,0.030203813589136198,0.23778974109485995,0.3962070362471381,0,low
aachen_000105_000019,train,0.057634646958837715,0.12542451963030374,0.46610506366426696,1,moderate
aachen_000106_000019,train,0.1980342055109052,0.2581394131048922,0.4699473962030065,1,moderate
aachen_000107_000019,train,0.2018055754823497,0.1366205890901567,0.5325924931960965,2,high
aachen_000108_000019,train,0.10472404040235149,0.28259263236482274,0.4110657040187644,0,low
aachen_000109_000019,train,0.17352021628130437,0.6206647382216423,0.2764277390298311,0,low
aachen_000110_000019,train,0.3200149700036136,0.307673054048726,0.5061709579774438,1,moderate
aachen_000111_000019,train,0.14013400814457266,0.08389139927692382,0.5281213044338244,2,high
aachen_000112_000019,train,0.0018262843962484334,0.4008711686273377,0.3004775578844554,0,low
aachen_000113_000019,train,0.016961165471547655,0.10330969302018156,0.45682573622568307,1,moderate
aachen_000114_000019,train,0.012980730172623899,0.4868089128198994,0.2630859086763623,0,low
aachen_000115_000019,train,0.233655092202044,0.2110338899736596,0.5113106011141922,1,moderate
aachen_000116_000019,train,0.030210967136207204,0.24109813480712844,0.3945564161645394,0,low
aachen_000117_000019,train,0.1429750759852451,0.13067065075001746,0.5061522126176138,1,moderate
aachen_000118_000019,train,0.19260020264788896,0.1155535987455261,0.5385233019511815,2,high
aachen_000119_000019,train,0.1646956663236541,0.24039850777232785,0.4621485792756631,1,moderate
aachen_000120_000019,train,0.2933437250268703,0.10005631298162418,0.5966437060226231,2,high
aachen_000121_000019,train,0.17285854828985317,0.02753276949457959,0.5726628893976368,2,high
aachen_000122_000019,train,0.11144838754109247,0.2907425165892606,0.41035293547591595,0,low
aachen_000123_000019,train,0.026689725383995246,0.31048005646418886,0.3581048344599032,0,low
aachen_000124_000019,train,0.04832421685774261,0.28982837991912563,0.37924791846930844,0,low
aachen_000125_000019,train,0.02414085545908743,0.33750615180073307,0.34331735182917716,0,low
aachen_000126_000019,train,0.08666433459875861,0.04692017129340953,0.5198720816526745,1,moderate
aachen_000127_000019,train,0.010700804804143248,0.1963837128202596,0.40715854599194184,0,low
aachen_000128_000019,train,0.03701543695404724,0.11992176178999389,0.45854683758202663,1,moderate
aachen_000129_000019,train,0.13265306650855338,0.2611927794675125,0.4357301435205204,0,low
aachen_000130_000019,train,0.19145032498928669,0.44096606174924274,0.37524213162002196,0,low
aachen_000131_000019,train,0.12494798975296152,0.17467847315879106,0.47513475829708524,1,moderate
aachen_000132_000019,train,0.30636514586834906,0.21357907144174534,0.5463930372133019,2,high
aachen_000133_000019,train,0.06679363900230968,0.21305171091480593,0.4268709640437519,0,low
aachen_000134_000019,train,0.09972147517243815,0.5314233836116765,0.2841490457803808,0,low
aachen_000135_000019,train,0.42703966936783033,0.24608142782938633,0.5904791207692219,2,high
aachen_000136_000019,train,0.24167947865407635,0.4627818594979032,0.3894488095780866,0,low
aachen_000137_000019,train,0.31376541435286115,0.22399483787530894,0.5448852882387761,2,high
aachen_000138_000019,train,0.16667181160471647,0.2486566966000847,0.45900755750231587,1,moderate
aachen_000139_000019,train,0.09257658329158469,0.17044744246497964,0.4610645704133025,1,moderate
aachen_000140_000019,train,0.19145391334495412,0.07876821905567494,0.5563428471446397,2,high
aachen_000141_000019,train,0.08933969946787743,0.3660678449992806,0.36163592723429844,0,low
aachen_000142_000019,train,0.2550454797709424,0.16298140669706518,0.5460320365369387,2,high
aachen_000143_000019,train,0.35031529657083543,0.04216130301071658,0.6540769967800594,2,high
aachen_000144_000019,train,0.4092135437031714,0.14126406846941936,0.6339747376168761,2,high
aachen_000145_000019,train,0.0972765130781037,0.3696017521603834,0.36383738045886016,0,low
aachen_000146_000019,train,0.16744699689273299,0.23160322799367164,0.4679218844495307,1,moderate
aachen_000147_000019,train,0.15596478144259485,0.3940187269243218,0.3809730272591365,0,low
aachen_000148_000019,train,0.21456153535178163,0.025579904889880017,0.5944908152309508,2,high
aachen_000149_000019,train,0.32153159893742594,0.03707580082461148,0.6422278990564072,2,high
aachen_000150_000019,train,0.3712213151349917,0.05118948721883284,0.6600159139580795,2,high
